species	interaction_name	interaction_name_2	ligand	receptor	pathway_name	annotation	version
human	12oxoLeukotrieneB4-12oxoLTB4-PTGR1_LTB4R1	12oxoLTB4-PTGR1 - LTB4R	12oxoLTB4-PTGR1	LTB4R	12oxoLTB4	Non-protein Signaling	CellChatDB v2
human	12oxoLeukotrieneB4-12oxoLTB4-PTGR1_LTB4R2	12oxoLTB4-PTGR1 - LTB4R2	12oxoLTB4-PTGR1	LTB4R2	12oxoLTB5	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLA_CNR1	2AG-DAGLA - CNR1	2AG-DAGLA	CNR1	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLA_CNR2	2AG-DAGLA - CNR2	2AG-DAGLA	CNR2	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLA_GPR55	2AG-DAGLA - GPR55	2AG-DAGLA	GPR55	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLB_CNR1	2AG-DAGLB - CNR1	2AG-DAGLB	CNR1	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLB_CNR2	2AG-DAGLB - CNR2	2AG-DAGLB	CNR2	2-AG	Non-protein Signaling	CellChatDB v2
human	2arachidonoylglycerol-2AG-DAGLB_GPR55	2AG-DAGLB - GPR55	2AG-DAGLB	GPR55	2-AG	Non-protein Signaling	CellChatDB v2
human	27Hydroxycholesterol-27HC-CYP11A1_NR1H4	22HC-CYP11A1 - NR1H4	22HC-CYP11A1	NR1H4	27HC	Non-protein Signaling	CellChatDB v2
human	27Hydroxycholesterol-27HC-CYP3A4_NR1H4	22HC-CYP3A4 - NR1H4	22HC-CYP3A4	NR1H4	27HC	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1A	5-HT-(TPH1+SLC18A1) - HTR1A	5-HT-TPH1_SLC18A1	HTR1A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1B	5-HT-(TPH1+SLC18A1) - HTR1B	5-HT-TPH1_SLC18A1	HTR1B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1D	5-HT-(TPH1+SLC18A1) - HTR1D	5-HT-TPH1_SLC18A1	HTR1D	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1E	5-HT-(TPH1+SLC18A1) - P28566	5-HT-TPH1_SLC18A1	HTR1E	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR1F	5-HT-(TPH1+SLC18A1) - HTR1F	5-HT-TPH1_SLC18A1	HTR1F	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR2A	5-HT-(TPH1+SLC18A1) - HTR2A	5-HT-TPH1_SLC18A1	HTR2A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR2B	5-HT-(TPH1+SLC18A1) - HTR2B	5-HT-TPH1_SLC18A1	HTR2B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR2C	5-HT-(TPH1+SLC18A1) - HTR2C	5-HT-TPH1_SLC18A1	HTR2C	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR3_COMPLEX	5-HT-(TPH1+SLC18A1) - HTR3	5-HT-TPH1_SLC18A1	HTR3_complex	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR4	5-HT-(TPH1+SLC18A1) - HTR4	5-HT-TPH1_SLC18A1	HTR4	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR5A	5-HT-(TPH1+SLC18A1) - HTR5A	5-HT-TPH1_SLC18A1	HTR5A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR6	5-HT-(TPH1+SLC18A1) - HTR6	5-HT-TPH1_SLC18A1	HTR6	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A1_HTR7	5-HT-(TPH1+SLC18A1) - HTR7	5-HT-TPH1_SLC18A1	HTR7	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1A	5-HT-(TPH1+SLC18A2) - HTR1A	5-HT-TPH1_SLC18A2	HTR1A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1B	5-HT-(TPH1+SLC18A2) - HTR1B	5-HT-TPH1_SLC18A2	HTR1B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1D	5-HT-(TPH1+SLC18A2) - HTR1D	5-HT-TPH1_SLC18A2	HTR1D	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1E	5-HT-(TPH1+SLC18A2) - P28566	5-HT-TPH1_SLC18A2	HTR1E	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR1F	5-HT-(TPH1+SLC18A2) - HTR1F	5-HT-TPH1_SLC18A2	HTR1F	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR2A	5-HT-(TPH1+SLC18A2) - HTR2A	5-HT-TPH1_SLC18A2	HTR2A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR2B	5-HT-(TPH1+SLC18A2) - HTR2B	5-HT-TPH1_SLC18A2	HTR2B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR2C	5-HT-(TPH1+SLC18A2) - HTR2C	5-HT-TPH1_SLC18A2	HTR2C	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR3_COMPLEX	5-HT-(TPH1+SLC18A2) - HTR3	5-HT-TPH1_SLC18A2	HTR3_complex	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR4	5-HT-(TPH1+SLC18A2) - HTR4	5-HT-TPH1_SLC18A2	HTR4	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR5A	5-HT-(TPH1+SLC18A2) - HTR5A	5-HT-TPH1_SLC18A2	HTR5A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR6	5-HT-(TPH1+SLC18A2) - HTR6	5-HT-TPH1_SLC18A2	HTR6	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC18A2_HTR7	5-HT-(TPH1+SLC18A2) - HTR7	5-HT-TPH1_SLC18A2	HTR7	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR1A	5-HT-(TPH1+SLC6A4) - HTR1A	5-HT-TPH1_SLC6A4	HTR1A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR1B	5-HT-(TPH1+SLC6A4) - HTR1B	5-HT-TPH1_SLC6A4	HTR1B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR1D	5-HT-(TPH1+SLC6A4) - HTR1D	5-HT-TPH1_SLC6A4	HTR1D	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR1E	5-HT-(TPH1+SLC6A4) - P28566	5-HT-TPH1_SLC6A4	HTR1E	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR1F	5-HT-(TPH1+SLC6A4) - HTR1F	5-HT-TPH1_SLC6A4	HTR1F	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR2A	5-HT-(TPH1+SLC6A4) - HTR2A	5-HT-TPH1_SLC6A4	HTR2A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR2B	5-HT-(TPH1+SLC6A4) - HTR2B	5-HT-TPH1_SLC6A4	HTR2B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR2C	5-HT-(TPH1+SLC6A4) - HTR2C	5-HT-TPH1_SLC6A4	HTR2C	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR3_COMPLEX	5-HT-(TPH1+SLC6A4) - HTR3	5-HT-TPH1_SLC6A4	HTR3_complex	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR4	5-HT-(TPH1+SLC6A4) - HTR4	5-HT-TPH1_SLC6A4	HTR4	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR5A	5-HT-(TPH1+SLC6A4) - HTR5A	5-HT-TPH1_SLC6A4	HTR5A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR6	5-HT-(TPH1+SLC6A4) - HTR6	5-HT-TPH1_SLC6A4	HTR6	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH1_SLC6A4_HTR7	5-HT-(TPH1+SLC6A4) - HTR7	5-HT-TPH1_SLC6A4	HTR7	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR1A	5-HT-(TPH2+SLC18A1) - HTR1A	5-HT-TPH2_SLC18A1	HTR1A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR1B	5-HT-(TPH2+SLC18A1) - HTR1B	5-HT-TPH2_SLC18A1	HTR1B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR1D	5-HT-(TPH2+SLC18A1) - HTR1D	5-HT-TPH2_SLC18A1	HTR1D	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR1E	5-HT-(TPH2+SLC18A1) - P28566	5-HT-TPH2_SLC18A1	HTR1E	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR1F	5-HT-(TPH2+SLC18A1) - HTR1F	5-HT-TPH2_SLC18A1	HTR1F	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR2A	5-HT-(TPH2+SLC18A1) - HTR2A	5-HT-TPH2_SLC18A1	HTR2A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR2B	5-HT-(TPH2+SLC18A1) - HTR2B	5-HT-TPH2_SLC18A1	HTR2B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR2C	5-HT-(TPH2+SLC18A1) - HTR2C	5-HT-TPH2_SLC18A1	HTR2C	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR3_COMPLEX	5-HT-(TPH2+SLC18A1) - HTR3	5-HT-TPH2_SLC18A1	HTR3_complex	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR4	5-HT-(TPH2+SLC18A1) - HTR4	5-HT-TPH2_SLC18A1	HTR4	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR5A	5-HT-(TPH2+SLC18A1) - HTR5A	5-HT-TPH2_SLC18A1	HTR5A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR6	5-HT-(TPH2+SLC18A1) - HTR6	5-HT-TPH2_SLC18A1	HTR6	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A1_HTR7	5-HT-(TPH2+SLC18A1) - HTR7	5-HT-TPH2_SLC18A1	HTR7	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR1A	5-HT-(TPH2+SLC18A2) - HTR1A	5-HT-TPH2_SLC18A2	HTR1A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR1B	5-HT-(TPH2+SLC18A2) - HTR1B	5-HT-TPH2_SLC18A2	HTR1B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR1D	5-HT-(TPH2+SLC18A2) - HTR1D	5-HT-TPH2_SLC18A2	HTR1D	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR1E	5-HT-(TPH2+SLC18A2) - P28566	5-HT-TPH2_SLC18A2	HTR1E	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR1F	5-HT-(TPH2+SLC18A2) - HTR1F	5-HT-TPH2_SLC18A2	HTR1F	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR2A	5-HT-(TPH2+SLC18A2) - HTR2A	5-HT-TPH2_SLC18A2	HTR2A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR2B	5-HT-(TPH2+SLC18A2) - HTR2B	5-HT-TPH2_SLC18A2	HTR2B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR2C	5-HT-(TPH2+SLC18A2) - HTR2C	5-HT-TPH2_SLC18A2	HTR2C	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR3_COMPLEX	5-HT-(TPH2+SLC18A2) - HTR3	5-HT-TPH2_SLC18A2	HTR3_complex	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR4	5-HT-(TPH2+SLC18A2) - HTR4	5-HT-TPH2_SLC18A2	HTR4	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR5A	5-HT-(TPH2+SLC18A2) - HTR5A	5-HT-TPH2_SLC18A2	HTR5A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR6	5-HT-(TPH2+SLC18A2) - HTR6	5-HT-TPH2_SLC18A2	HTR6	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC18A2_HTR7	5-HT-(TPH2+SLC18A2) - HTR7	5-HT-TPH2_SLC18A2	HTR7	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR1A	5-HT-(TPH2+SLC6A4) - HTR1A	5-HT-TPH2_SLC6A4	HTR1A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR1B	5-HT-(TPH2+SLC6A4) - HTR1B	5-HT-TPH2_SLC6A4	HTR1B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR1D	5-HT-(TPH2+SLC6A4) - HTR1D	5-HT-TPH2_SLC6A4	HTR1D	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR1E	5-HT-(TPH2+SLC6A4) - P28566	5-HT-TPH2_SLC6A4	HTR1E	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR1F	5-HT-(TPH2+SLC6A4) - HTR1F	5-HT-TPH2_SLC6A4	HTR1F	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR2A	5-HT-(TPH2+SLC6A4) - HTR2A	5-HT-TPH2_SLC6A4	HTR2A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR2B	5-HT-(TPH2+SLC6A4) - HTR2B	5-HT-TPH2_SLC6A4	HTR2B	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR2C	5-HT-(TPH2+SLC6A4) - HTR2C	5-HT-TPH2_SLC6A4	HTR2C	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR3_COMPLEX	5-HT-(TPH2+SLC6A4) - HTR3	5-HT-TPH2_SLC6A4	HTR3_complex	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR4	5-HT-(TPH2+SLC6A4) - HTR4	5-HT-TPH2_SLC6A4	HTR4	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR5A	5-HT-(TPH2+SLC6A4) - HTR5A	5-HT-TPH2_SLC6A4	HTR5A	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR6	5-HT-(TPH2+SLC6A4) - HTR6	5-HT-TPH2_SLC6A4	HTR6	5-HT	Non-protein Signaling	CellChatDB v2
human	5-HT-TPH2_SLC6A4_HTR7	5-HT-(TPH2+SLC6A4) - HTR7	5-HT-TPH2_SLC6A4	HTR7	5-HT	Non-protein Signaling	CellChatDB v2
human	5alphaDihydroprogesterone-DHRS9_PGR	5alphaP-DHRS9 - PGR	5alphaP-DHRS9	PGR	5alphaP	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRM1	Ach-(CHAT+SLC10A4) - CHRM1	Ach-CHAT_SLC10A4	CHRM1	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRM2	Ach-(CHAT+SLC10A4) - CHRM2	Ach-CHAT_SLC10A4	CHRM2	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRM3	Ach-(CHAT+SLC10A4) - CHRM3	Ach-CHAT_SLC10A4	CHRM3	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRM4	Ach-(CHAT+SLC10A4) - CHRM4	Ach-CHAT_SLC10A4	CHRM4	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRM5	Ach-(CHAT+SLC10A4) - CHRM5	Ach-CHAT_SLC10A4	CHRM5	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRN_A1_2B1DE	Ach-(CHAT+SLC10A4) - CHRN_A1_2B1DE	Ach-CHAT_SLC10A4	CHRN_A1_2B1DE	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRN_A1_2B1DG	Ach-(CHAT+SLC10A4) - CHRN_A1_2B1DG	Ach-CHAT_SLC10A4	CHRN_A1_2B1DG	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRN_A3_2B4_3	Ach-(CHAT+SLC10A4) - CHRN_A3_2B4_3	Ach-CHAT_SLC10A4	CHRN_A3B4	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRN_A4B2	Ach-(CHAT+SLC10A4) - CHRN_A4B2	Ach-CHAT_SLC10A4	CHRN_A4B2	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC10A4_CHRNA7	Ach-(CHAT+SLC10A4) - CHRNA7	Ach-CHAT_SLC10A4	CHRNA7	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRM1	Ach-(CHAT+SLC18A3) - CHRM1	Ach-CHAT_SLC18A3	CHRM1	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRM2	Ach-(CHAT+SLC18A3) - CHRM2	Ach-CHAT_SLC18A3	CHRM2	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRM3	Ach-(CHAT+SLC18A3) - CHRM3	Ach-CHAT_SLC18A3	CHRM3	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRM4	Ach-(CHAT+SLC18A3) - CHRM4	Ach-CHAT_SLC18A3	CHRM4	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRM5	Ach-(CHAT+SLC18A3) - CHRM5	Ach-CHAT_SLC18A3	CHRM5	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRN_A1_2B1DE	Ach-(CHAT+SLC18A3) - CHRN_A1_2B1DE	Ach-CHAT_SLC18A3	CHRN_A1_2B1DE	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRN_A1_2B1DG	Ach-(CHAT+SLC18A3) - CHRN_A1_2B1DG	Ach-CHAT_SLC18A3	CHRN_A1_2B1DG	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRN_A3_2B4_3	Ach-(CHAT+SLC18A3) - CHRN_A3_2B4_3	Ach-CHAT_SLC18A3	CHRN_A3B4	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRN_A4B2	Ach-(CHAT+SLC18A3) - CHRN_A4B2	Ach-CHAT_SLC18A3	CHRN_A4B2	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC18A3_CHRNA7	Ach-(CHAT+SLC18A3) - CHRNA7	Ach-CHAT_SLC18A3	CHRNA7	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC5A7_CHRM1	Ach-(CHAT+SLC5A7) - CHRM1	Ach-CHAT_SLC5A7	CHRM1	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC5A7_CHRM2	Ach-(CHAT+SLC5A7) - CHRM2	Ach-CHAT_SLC5A7	CHRM2	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC5A7_CHRM3	Ach-(CHAT+SLC5A7) - CHRM3	Ach-CHAT_SLC5A7	CHRM3	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC5A7_CHRM4	Ach-(CHAT+SLC5A7) - CHRM4	Ach-CHAT_SLC5A7	CHRM4	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC5A7_CHRM5	Ach-(CHAT+SLC5A7) - CHRM5	Ach-CHAT_SLC5A7	CHRM5	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC5A7_CHRN_A1_2B1DE	Ach-(CHAT+SLC5A7) - CHRN_A1_2B1DE	Ach-CHAT_SLC5A7	CHRN_A1_2B1DE	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC5A7_CHRN_A1_2B1DG	Ach-(CHAT+SLC5A7) - CHRN_A1_2B1DG	Ach-CHAT_SLC5A7	CHRN_A1_2B1DG	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC5A7_CHRN_A3_2B4_3	Ach-(CHAT+SLC5A7) - CHRN_A3_2B4_3	Ach-CHAT_SLC5A7	CHRN_A4B2	Ach	Non-protein Signaling	CellChatDB v2
human	Acetylcholine-Ach-CHAT_SLC5A7_CHRNA7	Ach-(CHAT+SLC5A7) - CHRNA7	Ach-CHAT_SLC5A7	CHRNA7	Ach	Non-protein Signaling	CellChatDB v2
human	INHABA_ACVR2A	INHABA - ACVR2A	Inhibin A	ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHABB_ACVR2B	INHABB - ACVR2B	Inhibin B	ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHB_ACVR1C_ACVR2B	INHB - (ACVR1C+ACVR2B)	Activin AB	ACVR1C_ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBA_ACVR1B_ACVR2A	INHBA - (ACVR1B+ACVR2A)	INHBA	ACVR1B_ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBA_ACVR1B_ACVR2B	INHBA - (ACVR1B+ACVR2B)	INHBA	ACVR1B_ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBABB_ACVR1B_ACVR2A	INHBABB - (ACVR1B+ACVR2A)	Activin AB	ACVR1B_ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBABB_ACVR1B_ACVR2B	INHBABB - (ACVR1B+ACVR2B)	Activin AB	ACVR1B_ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBABB_ACVR1C_ACVR2A	INHBABB - (ACVR1C+ACVR2A)	Activin AB	ACVR1C_ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBB_ACVR1B_ACVR2A	INHBB - (ACVR1B+ACVR2A)	INHBB	ACVR1B_ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBB_ACVR1B_ACVR2B	INHBB - (ACVR1B+ACVR2B)	INHBB	ACVR1B_ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBB_ACVR1C_ACVR2A	INHBB - (ACVR1C+ACVR2A)	INHBB	ACVR1C_ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBB_ACVR1C_ACVR2B	INHBB - (ACVR1C+ACVR2B)	INHBB	ACVR1C_ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBC_ACVR1B_ACVR2A	INHBC - (ACVR1B+ACVR2A)	INHBC	ACVR1B_ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBC_ACVR1B_ACVR2B	INHBC - (ACVR1B+ACVR2B)	INHBC	ACVR1B_ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBC_ACVR1C_ACVR2A	INHBC - (ACVR1C+ACVR2A)	INHBC	ACVR1C_ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBC_ACVR1C_ACVR2B	INHBC - (ACVR1C+ACVR2B)	INHBC	ACVR1C_ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBE_ACVR1B_ACVR2A	INHBE - (ACVR1B+ACVR2A)	INHBE	ACVR1B_ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBE_ACVR1B_ACVR2B	INHBE - (ACVR1B+ACVR2B)	INHBE	ACVR1B_ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBE_ACVR1C_ACVR2A	INHBE - (ACVR1C+ACVR2A)	INHBE	ACVR1C_ACVR2A	ACTIVIN	Secreted Signaling	CellChatDB v1
human	INHBE_ACVR1C_ACVR2B	INHBE - (ACVR1C+ACVR2B)	INHBE	ACVR1C_ACVR2B	ACTIVIN	Secreted Signaling	CellChatDB v1
human	Adenosine-ADO-NT5E_SLC29A1_ADORA1	ADO-(NT5E+SLC29A1) - ADORA1	ADO-NT5E_SLC29A1	ADORA1	Adenosine	Non-protein Signaling	CellChatDB v2
human	Adenosine-ADO-NT5E_SLC29A1_ADORA2A	ADO-(NT5E+SLC29A1) - ADORA2A	ADO-NT5E_SLC29A1	ADORA2A	Adenosine	Non-protein Signaling	CellChatDB v2
human	Adenosine-ADO-NT5E_SLC29A1_ADORA2B	ADO-(NT5E+SLC29A1) - ADORA2B	ADO-NT5E_SLC29A1	ADORA2B	Adenosine	Non-protein Signaling	CellChatDB v2
human	Adenosine-ADO-NT5E_SLC29A1_ADORA3	ADO-(NT5E+SLC29A1) - ADORA3	ADO-NT5E_SLC29A1	ADORA3	Adenosine	Non-protein Signaling	CellChatDB v2
human	Adenosine-ADO-NT5E_SLC29A2_ADORA1	ADO-(NT5E+SLC29A2) - ADORA1	ADO-NT5E_SLC29A2	ADORA1	Adenosine	Non-protein Signaling	CellChatDB v2
